merchant_state,merchant_state_desc
AA,Armed Forces Americas
AK,Alaska
AL,Alabama
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Antigua and Barbuda,Antigua and Barbuda
AR,Arkansas
Argentina,Argentina
Aruba,Aruba
Australia,Australia
Austria,Austria
AZ,Arizona
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belgium,Belgium
Belize,Belize
Benin,Benin
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Brunei,Brunei
Burkina Faso,Burkina Faso
CA,California
Cabo Verde,Cabo Verde
Cameroon,Cameroon
Canada,Canada
Chile,Chile
China,China
CO,Colorado
Colombia,Colombia
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
CT,Connecticut
Cyprus,Cyprus
Czech Republic,Czech Republic
DC,District of Columbia
DE,Delaware
Denmark,Denmark
Dominican Republic,Dominican Republic
East Timor (Timor-Leste),East Timor (Timor-Leste)
Ecuador,Ecuador
Egypt,Egypt
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
FL,Florida
France,France
GA,Georgia (US State)
Gabon,Gabon
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
Guinea,Guinea
Guyana,Guyana
Haiti,Haiti
HI,Hawaii
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
IA,Iowa
Iceland,Iceland
ID,Idaho
IL,Illinois
IN,Indiana
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kenya,Kenya
Kosovo,Kosovo
KS,Kansas
KY,Kentucky
Kyrgyzstan,Kyrgyzstan
LA,Louisiana
Latvia,Latvia
Lebanon,Lebanon
Liberia,Liberia
Lithuania,Lithuania
Luxembourg,Luxembourg
MA,Massachusetts
Macedonia,Macedonia
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
MD,Maryland
ME,Maine
Mexico,Mexico
MI,Michigan
Micronesia,Micronesia
MN,Minnesota
MO,Missouri
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
MS,Mississippi
MT,Montana
Myanmar (Burma),Myanmar (Burma)
Nauru,Nauru
NC,North Carolina
ND,North Dakota
NE,Nebraska
Netherlands,Netherlands
New Zealand,New Zealand
NH,New Hampshire
Niger,Niger
Nigeria,Nigeria
NJ,New Jersey
NM,New Mexico
Norway,Norway
NV,Nevada
NY,New York
OH,Ohio
OK,Oklahoma
Oman,Oman
ONLINE,Online
OR,Oregon
PA,Pennsylvania
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Republic of the Congo,Republic of the Congo
RI,Rhode Island
Romania,Romania
Russia,Russia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Saudi Arabia,Saudi Arabia
SC,South Carolina
SD,South Dakota
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
South Africa,South Africa
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Taiwan,Taiwan
Thailand,Thailand
The Bahamas,The Bahamas
TN,Tennessee
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Tuvalu,Tuvalu
TX,Texas
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Uruguay,Uruguay
UT,Utah
Uzbekistan,Uzbekistan
VA,Virginia
Vanuatu,Vanuatu
Vatican City,Vatican City
Venezuela,Venezuela
Vietnam,Vietnam
VT,Vermont
WA,Washington
WI,Wisconsin
WV,West Virginia
WY,Wyoming
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
